Nachname|Vorname|Geburtsdatum|Jahr|Abschnitt|Fach|Fachlehrer|Kursart|Kurs|Note|Abiturfach|Wochenstd.|Externe Schulnr.|Zusatzkraft|Wochenstd. ZK|Jahrgang|Jahrgänge|Fehlstd.|unentsch. Fehlstd.
Albert|André|18.01.1992|2010|1|AHE-E||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-BIO||||2||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-EW||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-DM||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-SP||||2||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-KR||||2||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-GES||||1||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-DEU||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-F||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-KU||||3||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-MU||||2||0||||||0|0
Albert|André|18.01.1992|2010|1|AHE-MA||||2||0||||||0|0
Albert|André|18.01.1992|2010|1|AG-Segel||||NB||||||||0|0
Albert|André|18.01.1992|2010|2|AHE-MA||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-EW||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-DM||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-GES||||2||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-KU||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-MU||||2||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-F||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-DEU||||3||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-KR||||2||0||||||0|0
Albert|André|18.01.1992|2010|2|AG-Segel||||1||||||||0|0
Albert|André|18.01.1992|2010|2|AHE-E||||5||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-SP||||2||0||||||0|0
Albert|André|18.01.1992|2010|2|AHE-BIO||||2||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-GES||GKS||2||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-SP||GKM||2+||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-KR||GKS||2+||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-DEU||GKS||3-||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-F||GKS||4||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-KU||GKS||3+||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-MA||GKS||3-||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-DM||GKM||3-||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-E||GKS||1||0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-BIO||LK2||3|2|0||||||0|0
Albert|André|18.01.1992|2011|1|AHE-EW||LK1||3|1|0||||||0|0
Albert|André|18.01.1992|2011|2|AHE-DM||GKM||3||0||||||0|0
Albert|André|18.01.1992|2011|2|AHE-SP||GKM||3||0||||||0|0
Albert|André|18.01.1992|2011|2|AHE-KR||GKS||3||0||||||0|0
Albert|André|18.01.1992|2011|2|AHE-GES||GKS||3||0||||||0|0
