Nachname|Vorname|Geburtsdatum|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Wertung|Wiederholung|Klassenlehrer|Versetzung|Abschluss|Schwerpunkt
Albert|André|18.01.1992|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Albert|André|18.01.1992|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Albert|André|18.01.1992|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Albert|André|18.01.1992|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Albert|André|18.01.1992|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Albert|André|18.01.1992|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|A|1|
Cramer|Sophia|29.04.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Cramer|Sophia|29.04.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Cramer|Sophia|29.04.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Cramer|Sophia|29.04.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Cramer|Sophia|29.04.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Cramer|Sophia|29.04.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Czazkowski|Lena|23.09.1992|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Czazkowski|Lena|23.09.1992|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Czazkowski|Lena|23.09.1992|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Czazkowski|Lena|23.09.1992|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Czazkowski|Lena|23.09.1992|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Czazkowski|Lena|23.09.1992|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Engel|Silvana|12.01.1990|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Engel|Silvana|12.01.1990|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Engel|Silvana|12.01.1990|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Engel|Silvana|12.01.1990|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Engel|Silvana|12.01.1990|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Engel|Silvana|12.01.1990|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Esser|Desiree|01.12.1989|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Esser|Desiree|01.12.1989|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Esser|Desiree|01.12.1989|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Esser|Desiree|01.12.1989|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Esser|Desiree|01.12.1989|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Esser|Desiree|01.12.1989|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gast|Elke|22.09.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gast|Elke|22.09.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Gast|Elke|22.09.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gast|Elke|22.09.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Gast|Elke|22.09.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Gast|Elke|22.09.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gau|Lukas|20.06.1993|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gau|Lukas|20.06.1993|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Gau|Lukas|20.06.1993|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Gau|Lukas|20.06.1993|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Gau|Lukas|20.06.1993|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Gau|Lukas|20.06.1993|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Goebel|Ellen|22.03.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Goebel|Ellen|22.03.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Goebel|Ellen|22.03.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Goebel|Ellen|22.03.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Goebel|Ellen|22.03.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Goebel|Ellen|22.03.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Groß|Lea Katharina|14.06.1991|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Groß|Lea Katharina|14.06.1991|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Groß|Lea Katharina|14.06.1991|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Groß|Lea Katharina|14.06.1991|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Groß|Lea Katharina|14.06.1991|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Groß|Lea Katharina|14.06.1991|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Heitmann|Vanessa|22.05.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Heitmann|Vanessa|22.05.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
Heitmann|Vanessa|22.05.1994|2011|1|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Heitmann|Vanessa|22.05.1994|2011|2|D01_02|AHE110|D01|V||16-106-00|||N|J|N|MAH|V||
Heitmann|Vanessa|22.05.1994|2012|1|D01_03|AHE110|D01|V||16-106-00|||N|J|N||||
Heitmann|Vanessa|22.05.1994|2012|2|D01_03|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Hoopmann|Nina|26.08.1994|2010|1|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|||
Hoopmann|Nina|26.08.1994|2010|2|D01_01|AHE110|D01|V||16-106-00|||N|J|N|MAH|V|0|
